A,B,C,D
52,0,Category3,2023-01-01
93,0,Category3,2023-01-02
15,0,Category1,2023-01-03
72,0,Category3,2023-01-04
61,0,Category3,2023-01-05
21,0,Category3,2023-01-06
83,0,Category2,2023-01-07
87,0,Category3,2023-01-08
75,0,Category3,2023-01-09
75,0,Category2,2023-01-10
88,0,Category2,2023-01-11
24,0,Category2,2023-01-12
3,0,Category2,2023-01-13
22,0,Category3,2023-01-14
53,0,Category3,2023-01-15
2,0,Category3,2023-01-16
88,0,Category1,2023-01-17
30,0,Category2,2023-01-18
38,0,Category3,2023-01-19
2,0,Category3,2023-01-20
64,0,Category3,2023-01-21
60,0,Category2,2023-01-22
21,0,Category2,2023-01-23
33,0,Category2,2023-01-24
76,0,Category3,2023-01-25
58,0,Category2,2023-01-26
22,0,Category3,2023-01-27
89,0,Category1,2023-01-28
49,0,Category2,2023-01-29
91,0,Category2,2023-01-30
59,0,Category3,2023-01-31
42,0,Category2,2023-02-01
92,0,Category2,2023-02-02
60,0,Category3,2023-02-03
80,0,Category3,2023-02-04
15,0,Category3,2023-02-05
62,0,Category1,2023-02-06
62,0,Category3,2023-02-07
47,0,Category2,2023-02-08
62,0,Category1,2023-02-09
51,0,Category3,2023-02-10
55,0,Category1,2023-02-11
64,0,Category1,2023-02-12
3,0,Category2,2023-02-13
51,0,Category1,2023-02-14
7,0,Category3,2023-02-15
21,0,Category1,2023-02-16
73,0,Category1,2023-02-17
39,0,Category2,2023-02-18
18,0,Category2,2023-02-19
4,0,Category3,2023-02-20
89,0,Category2,2023-02-21
60,0,Category3,2023-02-22
14,0,Category3,2023-02-23
9,0,Category2,2023-02-24
90,0,Category1,2023-02-25
53,0,Category2,2023-02-26
2,0,Category1,2023-02-27
84,0,Category1,2023-02-28
92,0,Category3,2023-03-01
60,0,Category3,2023-03-02
71,0,Category2,2023-03-03
44,0,Category1,2023-03-04
8,0,Category2,2023-03-05
47,0,Category3,2023-03-06
35,0,Category1,2023-03-07
78,0,Category2,2023-03-08
81,0,Category2,2023-03-09
36,0,Category3,2023-03-10
50,0,Category3,2023-03-11
4,0,Category3,2023-03-12
2,0,Category3,2023-03-13
6,0,Category2,2023-03-14
54,0,Category3,2023-03-15
4,0,Category3,2023-03-16
54,0,Category2,2023-03-17
93,0,Category2,2023-03-18
63,0,Category1,2023-03-19
18,0,Category2,2023-03-20
90,0,Category1,2023-03-21
44,0,Category3,2023-03-22
34,0,Category1,2023-03-23
74,0,Category1,2023-03-24
62,0,Category3,2023-03-25
14,0,Category3,2023-03-26
95,0,Category3,2023-03-27
48,0,Category1,2023-03-28
15,0,Category2,2023-03-29
72,0,Category2,2023-03-30
78,0,Category2,2023-03-31
87,0,Category3,2023-04-01
62,0,Category3,2023-04-02
40,0,Category2,2023-04-03
85,0,Category3,2023-04-04
80,0,Category1,2023-04-05
82,0,Category1,2023-04-06
53,0,Category3,2023-04-07
24,0,Category2,2023-04-08
26,0,Category2,2023-04-09
89,0,Category1,2023-04-10
60,0,Category3,2023-04-11
41,0,Category2,2023-04-12
29,0,Category2,2023-04-13
15,0,Category3,2023-04-14
45,0,Category3,2023-04-15
65,0,Category2,2023-04-16
89,0,Category3,2023-04-17
71,0,Category3,2023-04-18
9,0,Category3,2023-04-19
88,0,Category2,2023-04-20
1,0,Category1,2023-04-21
8,0,Category3,2023-04-22
88,0,Category2,2023-04-23
63,0,Category1,2023-04-24
11,0,Category2,2023-04-25
81,0,Category2,2023-04-26
8,0,Category2,2023-04-27
35,0,Category1,2023-04-28
35,0,Category2,2023-04-29
33,0,Category1,2023-04-30
5,0,Category3,2023-05-01
41,0,Category1,2023-05-02
28,0,Category2,2023-05-03
7,0,Category1,2023-05-04
73,0,Category2,2023-05-05
72,0,Category3,2023-05-06
12,0,Category1,2023-05-07
34,0,Category3,2023-05-08
33,0,Category1,2023-05-09
48,0,Category2,2023-05-10
23,0,Category1,2023-05-11
62,0,Category3,2023-05-12
88,0,Category1,2023-05-13
37,0,Category3,2023-05-14
99,0,Category3,2023-05-15
44,0,Category2,2023-05-16
86,0,Category1,2023-05-17
91,0,Category3,2023-05-18
35,0,Category2,2023-05-19
65,0,Category2,2023-05-20
99,0,Category2,2023-05-21
47,0,Category3,2023-05-22
78,0,Category1,2023-05-23
3,0,Category3,2023-05-24
1,0,Category2,2023-05-25
5,0,Category3,2023-05-26
90,0,Category3,2023-05-27
14,0,Category2,2023-05-28
27,0,Category1,2023-05-29
9,0,Category2,2023-05-30
79,0,Category2,2023-05-31
15,0,Category3,2023-06-01
90,0,Category2,2023-06-02
42,0,Category3,2023-06-03
77,0,Category2,2023-06-04
51,0,Category2,2023-06-05
63,0,Category1,2023-06-06
96,0,Category2,2023-06-07
52,0,Category1,2023-06-08
96,0,Category2,2023-06-09
4,0,Category2,2023-06-10
94,0,Category2,2023-06-11
23,0,Category1,2023-06-12
15,0,Category3,2023-06-13
43,0,Category1,2023-06-14
29,0,Category2,2023-06-15
36,0,Category3,2023-06-16
13,0,Category2,2023-06-17
32,0,Category1,2023-06-18
71,0,Category1,2023-06-19
59,0,Category3,2023-06-20
86,0,Category1,2023-06-21
28,0,Category2,2023-06-22
66,0,Category3,2023-06-23
42,0,Category2,2023-06-24
45,0,Category3,2023-06-25
62,0,Category3,2023-06-26
57,0,Category2,2023-06-27
6,0,Category1,2023-06-28
28,0,Category2,2023-06-29
28,0,Category1,2023-06-30
44,0,Category1,2023-07-01
84,0,Category2,2023-07-02
30,0,Category3,2023-07-03
62,0,Category2,2023-07-04
75,0,Category3,2023-07-05
92,0,Category1,2023-07-06
89,0,Category3,2023-07-07
62,0,Category2,2023-07-08
97,0,Category3,2023-07-09
1,0,Category1,2023-07-10
27,0,Category1,2023-07-11
62,0,Category3,2023-07-12
77,0,Category1,2023-07-13
3,0,Category1,2023-07-14
70,0,Category3,2023-07-15
72,0,Category1,2023-07-16
27,0,Category3,2023-07-17
9,0,Category3,2023-07-18
62,0,Category1,2023-07-19
37,0,Category3,2023-07-20
97,0,Category1,2023-07-21
51,0,Category1,2023-07-22
44,0,Category1,2023-07-23
24,0,Category2,2023-07-24
79,0,Category1,2023-07-25
59,0,Category3,2023-07-26
32,0,Category3,2023-07-27
96,0,Category3,2023-07-28
88,0,Category2,2023-07-29
52,0,Category2,2023-07-30
62,0,Category3,2023-07-31
58,0,Category3,2023-08-01
52,0,Category2,2023-08-02
12,0,Category3,2023-08-03
39,0,Category1,2023-08-04
2,0,Category1,2023-08-05
3,0,Category3,2023-08-06
56,0,Category1,2023-08-07
81,0,Category3,2023-08-08
59,0,Category2,2023-08-09
2,0,Category3,2023-08-10
2,0,Category2,2023-08-11
92,0,Category1,2023-08-12
54,0,Category1,2023-08-13
87,0,Category1,2023-08-14
96,0,Category3,2023-08-15
97,0,Category2,2023-08-16
1,0,Category2,2023-08-17
19,0,Category1,2023-08-18
2,0,Category1,2023-08-19
53,0,Category2,2023-08-20
44,0,Category3,2023-08-21
90,0,Category1,2023-08-22
32,0,Category3,2023-08-23
70,0,Category1,2023-08-24
32,0,Category1,2023-08-25
68,0,Category3,2023-08-26
55,0,Category3,2023-08-27
75,0,Category3,2023-08-28
56,0,Category3,2023-08-29
17,0,Category2,2023-08-30
38,0,Category2,2023-08-31
24,0,Category1,2023-09-01
69,0,Category1,2023-09-02
98,0,Category1,2023-09-03
70,0,Category2,2023-09-04
86,0,Category3,2023-09-05
11,0,Category1,2023-09-06
16,0,Category2,2023-09-07
97,0,Category1,2023-09-08
73,0,Category2,2023-09-09
59,0,Category3,2023-09-10
70,0,Category2,2023-09-11
80,0,Category3,2023-09-12
93,0,Category1,2023-09-13
3,0,Category3,2023-09-14
20,0,Category2,2023-09-15
59,0,Category1,2023-09-16
36,0,Category1,2023-09-17
19,0,Category2,2023-09-18
90,0,Category3,2023-09-19
67,0,Category2,2023-09-20
19,0,Category3,2023-09-21
20,0,Category3,2023-09-22
96,0,Category1,2023-09-23
71,0,Category3,2023-09-24
52,0,Category1,2023-09-25
33,0,Category2,2023-09-26
