datetime,value,datetime_utc,datetime_new_york,is_dst_spring,is_dst_fall,datetime_london,datetime_tokyo,spring_dst_rules,fall_dst_rules,hour,hour_utc,time_diff,timezone,weekday,hour_diff,time_diff_hours,next_hour,time_until_next_hour,value_shifted,diff_value,pct_change_value
2022-01-01 00:00:00,0,2022-01-01 00:00:00+00:00,2021-12-31 19:00:00-05:00,False,False,2022-01-01 00:00:00+00:00,2022-01-01 09:00:00+09:00,2021-12-31 19:00:00-05:00,2021-12-31 19:00:00-05:00,19,1970-01-01 00:00:00.000000019+00:00,,America/New_York,Friday,19,,2021-12-31 20:00:00-05:00,0 days 01:00:00,,,
2022-01-01 01:00:00,1,2022-01-01 01:00:00+00:00,2021-12-31 20:00:00-05:00,False,False,2022-01-01 01:00:00+00:00,2022-01-01 10:00:00+09:00,2021-12-31 20:00:00-05:00,2021-12-31 20:00:00-05:00,20,1970-01-01 00:00:00.000000020+00:00,0 days 01:00:00,America/New_York,Friday,19,1.0,2021-12-31 21:00:00-05:00,0 days 01:00:00,0.0,1.0,inf
2022-01-01 02:00:00,2,2022-01-01 02:00:00+00:00,2021-12-31 21:00:00-05:00,False,False,2022-01-01 02:00:00+00:00,2022-01-01 11:00:00+09:00,2021-12-31 21:00:00-05:00,2021-12-31 21:00:00-05:00,21,1970-01-01 00:00:00.000000021+00:00,0 days 01:00:00,America/New_York,Friday,19,1.0,2021-12-31 22:00:00-05:00,0 days 01:00:00,1.0,1.0,1.0
2022-01-01 03:00:00,3,2022-01-01 03:00:00+00:00,2021-12-31 22:00:00-05:00,False,False,2022-01-01 03:00:00+00:00,2022-01-01 12:00:00+09:00,2021-12-31 22:00:00-05:00,2021-12-31 22:00:00-05:00,22,1970-01-01 00:00:00.000000022+00:00,0 days 01:00:00,America/New_York,Friday,19,1.0,2021-12-31 23:00:00-05:00,0 days 01:00:00,2.0,1.0,0.5
2022-01-01 04:00:00,4,2022-01-01 04:00:00+00:00,2021-12-31 23:00:00-05:00,False,False,2022-01-01 04:00:00+00:00,2022-01-01 13:00:00+09:00,2021-12-31 23:00:00-05:00,2021-12-31 23:00:00-05:00,23,1970-01-01 00:00:00.000000023+00:00,0 days 01:00:00,America/New_York,Friday,19,1.0,2022-01-01 00:00:00-05:00,0 days 01:00:00,3.0,1.0,0.33333333333333326
2022-01-01 05:00:00,5,2022-01-01 05:00:00+00:00,2022-01-01 00:00:00-05:00,False,False,2022-01-01 05:00:00+00:00,2022-01-01 14:00:00+09:00,2022-01-01 00:00:00-05:00,2022-01-01 00:00:00-05:00,0,1970-01-01 00:00:00+00:00,0 days 01:00:00,America/New_York,Saturday,-5,1.0,2022-01-01 01:00:00-05:00,0 days 01:00:00,4.0,1.0,0.25
2022-01-01 06:00:00,6,2022-01-01 06:00:00+00:00,2022-01-01 01:00:00-05:00,False,False,2022-01-01 06:00:00+00:00,2022-01-01 15:00:00+09:00,2022-01-01 01:00:00-05:00,2022-01-01 01:00:00-05:00,1,1970-01-01 00:00:00.000000001+00:00,0 days 01:00:00,America/New_York,Saturday,-5,1.0,2022-01-01 02:00:00-05:00,0 days 01:00:00,5.0,1.0,0.19999999999999996
2022-01-01 07:00:00,7,2022-01-01 07:00:00+00:00,2022-01-01 02:00:00-05:00,False,False,2022-01-01 07:00:00+00:00,2022-01-01 16:00:00+09:00,2022-01-01 02:00:00-05:00,2022-01-01 02:00:00-05:00,2,1970-01-01 00:00:00.000000002+00:00,0 days 01:00:00,America/New_York,Saturday,-5,1.0,2022-01-01 03:00:00-05:00,0 days 01:00:00,6.0,1.0,0.16666666666666674
2022-01-01 08:00:00,8,2022-01-01 08:00:00+00:00,2022-01-01 03:00:00-05:00,False,False,2022-01-01 08:00:00+00:00,2022-01-01 17:00:00+09:00,2022-01-01 03:00:00-05:00,2022-01-01 03:00:00-05:00,3,1970-01-01 00:00:00.000000003+00:00,0 days 01:00:00,America/New_York,Saturday,-5,1.0,2022-01-01 04:00:00-05:00,0 days 01:00:00,7.0,1.0,0.1428571428571428
2022-01-01 09:00:00,9,2022-01-01 09:00:00+00:00,2022-01-01 04:00:00-05:00,False,False,2022-01-01 09:00:00+00:00,2022-01-01 18:00:00+09:00,2022-01-01 04:00:00-05:00,2022-01-01 04:00:00-05:00,4,1970-01-01 00:00:00.000000004+00:00,0 days 01:00:00,America/New_York,Saturday,-5,1.0,2022-01-01 05:00:00-05:00,0 days 01:00:00,8.0,1.0,0.125
2022-01-01 10:00:00,10,2022-01-01 10:00:00+00:00,2022-01-01 05:00:00-05:00,False,False,2022-01-01 10:00:00+00:00,2022-01-01 19:00:00+09:00,2022-01-01 05:00:00-05:00,2022-01-01 05:00:00-05:00,5,1970-01-01 00:00:00.000000005+00:00,0 days 01:00:00,America/New_York,Saturday,-5,1.0,2022-01-01 06:00:00-05:00,0 days 01:00:00,9.0,1.0,0.11111111111111116
